Genbank_code	Sample_name
MT079216	O001_Tha_cae_ALG_014_BR_AL
MT079217	O002_Tha_cae_ALG_020_BR_AL
MT079218	O006_Tha_cae_ALG_080_BR_AL
MT079219	O007_Tha_cae_ALG_085_BR_AL
MT079220	O008_Tha_cae_ALG_086_BR_AL
MT079221	O010_Tha_cae_ALG_102_BR_AL
MT079222	O030_Tha_cae_MZ_82619_BR_SP
MT079223	O031_Tha_cae_MZ_82637_BR_MG
MT079224	O078_Tha_cae_MZ_91196_BR_SC
MT079225	O079_Tha_cae_MZ_91197_BR_SC
MT079226	O097_Tha_cae_MZ_91661_BR_SP
MT079227	O103_Tha_cae_MZ_91755_BR_MG
MT079228	O134_Tha_cae_MZ_93176_BR_SP
MT079229	O166_Tha_cae_MZ_96752_BR_SP
MT079230	O168_Tha_cae_MZ_96754_BR_SP
MT079231	O169_Tha_cae_MZ_96755_BR_SP
MT079232	O178_Tha_cae_MZ_96753_BR_SP
MT079233	O198_Tha_cae_FRA_258_BR_SP
MT079234	O214_Tha_cae_KU_3195_PY_ALT
MT079235	O216_Tha_cae_KU_3700_PY_ITA
MT079236	O217_Tha_cae_KU_3721_PY_CAA_ITA
MT079237	O229_Tha_cae_KU_21634_PE_PU
MT079238	O230_Tha_cae_KU_21654_PE_PU
MT079239	O272_Tha_cae_ML_2030_BR_MG
MT079240	O273_Tha_cae_ML_2031_BR_GO
MT079241	O275_Tha_cae_BOR_14_32_BR_SP
MT079242	O283_Tha_cae_ML_2032_BR_MG
MT079243	O288_Tha_cae_MCP_3306_BR_RS
MT079244	O293_Tha_cae_MCP_4053_BR_RS
MT079245	O299_Tha_cae_MCP_4843_BR_SC
MT079246	O349_Tha_cae_MPEG_T14940_BR_SC
MT079247	O351_Tha_cae_MPEG_T14991_BR_SC
MT079248	O363_Tha_cae_MPEG_T15207_BR_PE
MT079249	O390_Tha_cae_MPEG_T15691_BR_MG
MT079250	O392_Tha_cae_MPEG_T15720_BR_MG
MT079251	O400_Tha_cae_MPEG_T15783_BR_MG
MT079252	O447_Tha_cae_FMNH_395426_BR_SP
MT079253	O448_Tha_cae_LSUB_1684_PE_PC
MT079254	O449_Tha_cae_LSU_38284_BO_SaC
MT079255	O450_Tha_cae_MPEG_CPEII037_BR_PE
MT079256	O451_Tha_cae_MZ_81155_BR_SP
MT079257	O452_Tha_cae_MZ_84352_BR_SC
MT079258	O453_Tha_cae_UWBM_77213_BO_TJ
MT079259	O454_Tha_cae_UWBMRTB_407_BO_CB
MT079260	O455_Tha_cae_YPM_10106_KJ_810434_UY_AR
MT079261	O603_Tha_cae_LSUMZ_105988_PE_PAS
MT079262	O604_Tha_cae_LSUMZ_171295_BO_SaC
MT079263	O605_Tha_cae_LSUMZ_168944_BO_SaC
MT079264	O606_Tha_cae_LSUMZ_170871_PE_LO
MT079265	O607_Tha_cae_LSUMZ_179678_PE_PU
MT079266	O608_Tha_cae_MZUSP_81155_BR_SP
MT079267	O659_Tha_aet_MZ_81269_BR_MA
MT079268	O729_Tha_cae_CUMV52575_AR_JU
MT079269	O730_Tha_cae_UWBM70760_AR_CO
